user_id,product_id,product_name,category,review_text,rating,review_length,sentiment_label,country,purchase_amount,purchase_date
U2170 !,P133 ! !,earbuds !,accessories,honestly speaking value for money !,4.82729089346402,3.140782252373855,negative,USA !,,2023-10-01
U1671 ! !,P177,smartwatch,gadgets !,this product is below expectations,1.1824636488727822,3.1700938887027856,neutral ! !,Canada,98214.44383450276,2023-07-25
U1357 ! !,P802,tablet ! !,gadgets !,overall my opinion is excellent for daily use,4.837949153823626,8.547156527297904,positive,Australia ! !,,2021-10-02
U1399 ! !,P410 ! !,mouse,accessories ! !,honestly speaking surprisingly good performance,,3.2027785468214542,neutral ! !,Canada ! !,,2024-04-12
U1664 !,P964 !,mouse,electronics,initially i thought excellent for daily use,-0.6243057823188383,6.888181046209607, ! !,UK !,91477.68739065774,2023-12-29
U1165 ! !,P253 ! !,earbuds !,gadgets,after using this for some days not worth the money,-0.6243046232817514,12.13350946167084,positive !,UK !,40387.76691192553,2022-05-18
U2394,P381,headphones,gadgets ! !,i feel the quality is disappointing and poor ! !,4.903711490090219,8.672750353714525,negative,Germany,-13592.832355106055,2021-12-27
U1983 !,P891,camera !,accessories,this product is very good and useful ! !,3.0464028135656376,6.73267411539189,positive,India !,42202.21535607993,2021-11-21
U1799 ! !,P990,keyboard ! !,gadgets,from my experience value for money,6.559081382304531,4.927491065495835,positive,Canada !,145379.2635207106,2021-10-06
U1861 !,P654,camera,gadgets !,after using this for some days value for money !,-0.5694725479775606,10.45843022910763,neutral,India !,50530.587817868436,2021-05-13
U1103 !,P458 !,laptop !,electronics ! !,overall my opinion is value for money ! !,1.1595089635275273,6.8665512867760485,neutral ! !,Australia ! !,27634.744548247254,2022-06-15
U2429,P569 ! !,earbuds,accessories ! !,after using this for some days excellent for daily use,2.9593457401733856,12.261009003594898,negative ! !,USA ! !,79875.02172262475,2023-09-08
U1051,P926,laptop,accessories,honestly speaking disappointing and poor !,-0.5906936929804542,3.0907001576340627,,Australia ! !,158641.25389696503,2022-08-08
U1333,P786,keyboard,electronics ! !,initially i thought excellent for daily use,2.8571537689423354,6.757484891036394,negative ! !,USA ! !,162996.1706156403,2022-09-24
U1949 ! !,P983,mouse !,gadgets,honestly speaking disappointing and poor !,6.470451492456247,3.258775527209803,negative ! !,Germany ! !,,2023-05-19
U2248 ! !,P518 ! !,earbuds ! !,gadgets,initially i thought not worth the money,-0.6474708990348695,6.797365946476461,neutral,Canada ! !,-6107.9766577878545,2022-08-02
U1955,P811,tablet !,gadgets !,from my experience below expectations ! !,4.720722308744181,3.1097258169255415,neutral ! !,Germany,145193.11905025097,2023-09-04
U2202,P591 ! !,laptop ! !,gadgets !,i would say this item is below expectations,1.2144093779815714,8.630118076324333,neutral,Germany ! !,77996.09986654422,2022-09-20
U1033 ! !,P705 !,camera !,gadgets,initially i thought surprisingly good performance,2.9281213173275122,4.937928651476922,positive !,USA !,70463.52406195237,2021-04-20
U1450,P683,laptop !,accessories ! !,overall my opinion is very good and useful,4.692520950134186,8.735123191413647,negative ! !,USA ! !,129920.44415199255,2022-11-01
U1097 !,P773 !,phone ! !,electronics ! !,initially i thought surprisingly good performance,6.695694267994662,5.11550195423978,positive !,India !,142376.02845359765,2021-12-03
U1063 !,P840 ! !,mouse ! !,gadgets !,i feel the quality is below expectations,4.7762856096461945,6.841574080426768,neutral !,India !,139145.7355658591,2023-08-23
U2248 !,P562 !,keyboard ! !,gadgets,initially i thought surprisingly good performance !,6.596991875672332,5.101055396786422,neutral !,USA,90697.88641768583,2021-03-26
U1383 ! !,P755,smartwatch !,gadgets,i would say this item is below expectations ! !,-0.7083575867102873,8.599192996920618,positive ! !,UK !,-165.71117599991658,2024-04-02
U1361,P202 !,camera ! !,electronics !,this product is below expectations ! !,6.553793117177124,3.254252904562018,positive,UK !,56620.8417281383,2021-12-11
U1830 !,P928 !,keyboard,accessories,after using this for some days average but acceptable ! !,6.600055366564743,10.51022727272969,positive,Australia,104812.76641818647,2021-07-13
U1812 ! !,P932 !,laptop,electronics !,from my experience disappointing and poor !,6.510968525420651,5.0133937872533085,positive !,UK !,67958.53829511433,2023-09-01
U2244,P350 !,mouse,accessories,,1.2187475801714067,,neutral !,Germany,60704.755526820176,2023-08-30
U1204,P690 !,earbuds,gadgets ! !,i would say this item is not worth the money ! !,1.1498216439660163,12.060144585488132,negative !,Australia !,,2023-03-31
U1064 !,P117 ! !,earbuds ! !,accessories !,after using this for some days very good and useful !,2.9716320696663083,12.187568398585631,neutral !,USA ! !,,2021-09-18
